Filename,Date,Selection,RMS,PeakFreq,PeakLev,Verified,used,ins_sm,out_sm,ins_med,out_med,ins_lg,out_lg,pins_sm,pins_med,pins_lg,pins_ovrll,begin_file_date,seln_num,View,Channel,Begin_Time,End_Time,Low_Freq,High_Freq,Begin_Date,Begin_Clock,End_Clock,Delta_Time_s,Behavior,Partial,Notes,Dep,Site_ID,DeltaHours,Hr_time,Hr_local,Begin_Hour_loc,Begin_Date_loc,Weekday
805355546.181224000401_sel01_S3.wav,181224000000,S3,133.3196504,249,118.9723674,1,1,3,0,26,0,37,0,1,1,1,1,2018-12-24,3,Spectrogram 1,1,18003.201,19800.131,55.5,24000,2018-12-24,10:04:03,10:34:00,1796.93,CPA+Maneuver,y,NA,201812,CGMP,0.49914722222222224,2018-12-23T23:04:03Z,2018-12-23T23:04:03Z,10,2018-12-24,Monday
805355546.190107000401_sel01_S4.wav,190107000000,S4,112.7989248,60,95.8687478,1,1,37,0,82,20,0,48,1,0.803921568627451,0,0.8561151079136691,2019-01-07,4,Spectrogram 1,1,12603.248564127,14399.996736344,21.2,4639.8,2019-01-07,07:04:04,07:34:00,1796.7482,CPA+Maneuver,y,NA,201812,CGMP,0.49909672222222223,2019-01-06T20:04:04Z,2019-01-06T20:04:04Z,7,2019-01-07,Monday
805355546.190107000401_sel02_S5.wav,190107000000,S5,120.3187005,103,112.9231121,1,1,7,0,42,0,48,0,1,1,1,1,2019-01-07,5,Spectrogram 1,1,16204.201113336,17006.646376946,63.6,12987.3,2019-01-07,09:04:04,09:17:27,802.4453,CPA+Maneuver,y,NA,201812,CGMP,0.2229014722222222,2019-01-06T22:04:04Z,2019-01-06T22:04:04Z,9,2019-01-07,Monday
805355546.190120000401_sel01_S8.wav,190120000000,S8,127.0265428,262,118.2506112,1,1,3,0,28,0,38,0,1,1,1,1,2019-01-20,8,Spectrogram 1,1,18347.649613443,18804.744507299,42.4,7203.4,2019-01-20,10:09:48,10:17:25,457.0949,CPA+Maneuver,n,NA,201812,CGMP,0.12697080555555557,2019-01-19T23:09:48Z,2019-01-19T23:09:48Z,10,2019-01-20,Sunday
805355546.190121000401_sel01_S5.wav,190121000000,S5,121.9643352,1079,101.7807365,1,1,22,0,81,0,17,48,1,1,0.26153846153846155,1,2019-01-21,5,Spectrogram 1,1,18003.514599179,19155.79378198,105.9,5000,2019-01-21,10:04:04,10:23:16,1152.2792,CPA+Maneuver,y,NA,201812,CGMP,0.32007755555555556,2019-01-20T23:04:04Z,2019-01-20T23:04:04Z,10,2019-01-21,Monday
805355546.190121000401_sel02_S8.wav,190121000000,S8,135.5776355,285,125.4125984,1,1,2,0,15,0,24,0,1,1,1,1,2019-01-21,8,Spectrogram 1,1,21604.12221764,23400.180604091,105.9,7839,2019-01-21,12:04:04,12:34:00,1796.0584,CPA+Maneuver,y,NA,201812,CGMP,0.4989051111111111,2019-01-21T01:04:04Z,2019-01-21T01:04:04Z,12,2019-01-21,Monday
805355546.190217000401_sel01_S4.wav,190217000000,S4,125.3879768,187,112.9894043,1,1,7,0,42,0,48,0,1,1,1,1,2019-02-17,4,Spectrogram 1,1,14403.45195257,16199.937330125,0,8919.5,2019-02-17,08:04:04,08:34:00,1796.4854,CPA+Maneuver,y,NA,201812,CGMP,0.49902372222222224,2019-02-16T21:04:04Z,2019-02-16T21:04:04Z,8,2019-02-17,Sunday
805355546.190217000401_sel02_S5.wav,190217000000,S5,126.6680665,133,110.2031482,1,1,9,0,51,0,53,0,1,1,1,1,2019-02-17,5,Spectrogram 1,1,17202.024936633,17849.565066697,97.4,8326.3,2019-02-17,09:20:42,09:31:30,647.5401,CPA+Maneuver,n,NA,201812,CGMP,0.17987225,2019-02-16T22:20:42Z,2019-02-16T22:20:42Z,9,2019-02-17,Sunday
805355546.190107000401_sel01_S10.wav,190107000401,S10,126.7097047,208,110.98535,1,1,8,0,49,0,51,0,1,1,1,1,2019-01-07,10,Spectrogram 1,1,21603.774120803,23400.095287029,84.7,9915.3,2019-01-07,12:04:04,12:34:00,1796.3212,CPA,y,NA,201812,CGMP,0.4989781111111111,2019-01-07T01:04:04Z,2019-01-07T01:04:04Z,12,2019-01-07,Monday
805355546.190121000401_sel01_S7.wav,190121000401,S7,134.0818832,592,114.9345432,1,1,5,0,37,0,44,0,1,1,1,1,2019-01-21,7,Spectrogram 1,1,19838.217137576,21599.917838564,149.8,8050.8,2019-01-21,11:04:38,11:34:00,1761.7007,CPA,y,NA,201812,CGMP,0.48936130555555557,2019-01-21T00:04:38Z,2019-01-21T00:04:38Z,11,2019-01-21,Monday
